Order,Family name,Family,Common_name,Scientific_name,Authority,BirdLife_taxonomic_treatment,2018_IUCN_Redlist,Synonyms
STRUTHIONIFORMES,Struthionidae,Ostriches,Common Ostrich,Struthio camelus,"Linnaeus, 1758",R,LC,
STRUTHIONIFORMES,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,"Reichenow, 1883",R,VU,
STRUTHIONIFORMES,Struthionidae,Ostriches,,Struthio camelus,"Linnaeus, 1758",NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,Greater Rhea,Rhea americana,"(Linnaeus, 1758)",R,NT,
STRUTHIONIFORMES,Rheidae,Rheas,Lesser Rhea,Rhea pennata,"d'Orbigny, 1834",R,LC,
STRUTHIONIFORMES,Rheidae,Rheas,Puna Rhea,Rhea tarapacensis,"(Chubb, 1913)",R,NT,
STRUTHIONIFORMES,Rheidae,Rheas,,Rhea pennata,"d'Orbigny, 1834",NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,,Rhea nana,"Lydekker, 1894",NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,,Pterocnemia tarapacensis,"Chubb, 1913",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,"(Bonaparte, 1854)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Highland Tinamou,Nothocercus bonapartei,"Gray, 1867",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,"(G. R. Gray, 1867)",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Grey Tinamou,Tinamus tao,"Temminck, 1815",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Solitary Tinamou,Tinamus solitarius,"(Vieillot, 1819)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Black Tinamou,Tinamus osgoodi,"Conover, 1949",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Great Tinamou,Tinamus major,"(Gmelin, 1789)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,White-throated Tinamou,Tinamus guttatus,"Pelzeln, 1863",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,"Rothschild, 1897",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Cinereous Tinamou,Crypturellus cinereus,"(Gmelin, 1789)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,"Zimmer & Phelps, 1945",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Little Tinamou,Crypturellus soui,"(Hermann, 1783)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brown Tinamou,Crypturellus obsoletus,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Undulated Tinamou,Crypturellus undulatus,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Grey-legged Tinamou,Crypturellus duidae,"Zimmer, 1938",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Red-legged Tinamou,Crypturellus erythropus,"(Pelzeln, 1863)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,"(Wied, 1820)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,"(Tschudi, 1844)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,"(Salvadori, 1985)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,"(Lesson, 1842)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,"(Sclater & Salvin, 1878)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,"(Sclater, 1859)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Choco Tinamou,Crypturellus kerriae,"(Chapman, 1915)",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Variegated Tinamou,Crypturellus variegatus,"(Gmelin, 1789)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Rusty Tinamou,Crypturellus brevirostris,"(Pelzeln, 1863)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Bartlett's Tinamou,Crypturellus bartletti,"(Sclater & Salvin, 1873)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Barred Tinamou,Crypturellus casiquiare,"(Chapman, 1929)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Small-billed Tinamou,Crypturellus parvirostris,"(Wagler, 1827)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tataupa Tinamou,Crypturellus tataupa,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus idoneus,"(Todd, 1919)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus columbianus,"(Salvadori, 1895)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus saltuarius,"Wetmore, 1950",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus cinnamomeus,"(Lesson, 1842)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus erythropus,"(Pelzeln, 1863)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Red-winged Tinamou,Rhynchotus rufescens,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Huayco Tinamou,Rhynchotus maculicollis,"G.R. Gray, 1867",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Rhynchotus rufescens,"(Temminck, 1815)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,"Sclater & Salvin, 1875",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Ornate Tinamou,Nothoprocta ornata,"(Gray, 1867)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Chilean Tinamou,Nothoprocta perdicaria,"(Kittlitz, 1830)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brushland Tinamou,Nothoprocta cinerascens,"(Burmeister, 1860)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Andean Tinamou,Nothoprocta pentlandii,"(Gray, 1867)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,"Sclater & Salvin, 1873",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Nothoprocta kalinowskii,"Berlepsch & Stolzmann, 1901",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,White-bellied Nothura,Nothura boraquira,"(Spix, 1825)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Lesser Nothura,Nothura minor,"(Spix, 1825)",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Darwin's Nothura,Nothura darwinii,"Gray, 1867",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Spotted Nothura,Nothura maculosa,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Chaco Nothura,Nothura chacoensis,"Conover, 1937",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Dwarf Tinamou,Taoniscus nanus,"(Temminck, 1815)",R,EN,
STRUTHIONIFORMES,Tinamidae,Tinamous,Elegant Crested Tinamou,Eudromia elegans,"Geoffroy Saint-Hilaire, 1832",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Quebracho Crested Tinamou,Eudromia formosa,"(Lillo, 1905)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Puna Tinamou,Tinamotis pentlandii,"Vigors, 1837",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Patagonian Tinamou,Tinamotis ingoufi,"Oustalet, 1890",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Southern Cassowary,Casuarius casuarius,"(Linnaeus, 1758)",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Dwarf Cassowary,Casuarius bennetti,"Gould, 1857",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Northern Cassowary,Casuarius unappendiculatus,"Blyth, 1860",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Common Emu,Dromaius novaehollandiae,"(Latham, 1790)",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",King Island Emu,Dromaius minor,"Spencer, 1906",R,EX,Dromaius ater
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Kangaroo Island Emu,Dromaius baudinianus,"S. A. Parker, 1984",R,EX,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",,Dromaius novaehollandiae,"(Latham, 1790)",NR,NR,
STRUTHIONIFORMES,Apterygidae,Kiwis,Great Spotted Kiwi,Apteryx haastii,"Potts, 1872",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Little Spotted Kiwi,Apteryx owenii,"Gould, 1847",R,NT,
STRUTHIONIFORMES,Apterygidae,Kiwis,Northern Brown Kiwi,Apteryx mantelli,"Bartlett, 1851",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Southern Brown Kiwi,Apteryx australis,"Shaw, 1813",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Okarito Kiwi,Apteryx rowi,"Tennyson, Palma, Robertson, Worthy & Gill, 2003",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,,Apteryx australis,"Shaw, 1813",NR,NR,
STRUTHIONIFORMES,Apterygidae,Kiwis,,Apteryx mantelli,"Bartlett, 1851",NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,Australian Brush-turkey,Alectura lathami,"Gray, 1831",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Wattled Brush-turkey,Aepypodius arfakianus,"(Salvadori, 1877)",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Waigeo Brush-turkey,Aepypodius bruijnii,"(Oustalet, 1880)",R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Red-billed Brush-turkey,Talegalla cuvieri,"Lesson, 1828",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Black-billed Brush-turkey,Talegalla fuscirostris,"Salvadori, 1877",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Collared Brush-turkey,Talegalla jobiensis,"Meyer, 1874",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Malleefowl,Leipoa ocellata,"Gould, 1840",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Maleo,Macrocephalon maleo,"Müller, 1846",R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Moluccan Scrubfowl,Eulipoa wallacei,"(Gray, 1860)",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Nicobar Scrubfowl,Megapodius nicobariensis,"Blyth, 1846",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Philippine Scrubfowl,Megapodius cumingii,"Dillwyn, 1853",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Sula Scrubfowl,Megapodius bernsteinii,"Schlegel, 1866",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Tanimbar Scrubfowl,Megapodius tenimberensis,"P.L. Sclater, 1883",R,NT,
GALLIFORMES,Megapodiidae,Megapodes,Vanuatu Scrubfowl,Megapodius layardi,"Tristram, 1879",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Micronesian Scrubfowl,Megapodius laperouse,"Gaimard, 1823",R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Tongan Scrubfowl,Megapodius pritchardii,"Gray, 1864",R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Dusky Scrubfowl,Megapodius freycinet,"Gaimard, 1823",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Biak Scrubfowl,Megapodius geelvinkianus,"Meyer, 1874",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,New Guinea Scrubfowl,Megapodius decollatus,"Oustalet, 1878",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Melanesian Scrubfowl,Megapodius eremita,"Hartlaub, 1867",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Orange-footed Scrubfowl,Megapodius reinwardt,"Dumont, 1823",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius forstenii,"G. R. Gray, 1847",NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius freycinet,"Gaimard, 1823",NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius stairi,"Gray, 1861",NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,,Megapodius reinwardt,"Dumont, 1823",NR,NR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Black Guan,Chamaepetes unicolor,"Salvin, 1867",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Sickle-winged Guan,Chamaepetes goudotii,"(Lesson, 1828)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Highland Guan,Penelopina nigra,"(Fraser, 1852)",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Band-tailed Guan,Penelope argyrotis,"(Bonaparte, 1856)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Bearded Guan,Penelope barbata,"Chapman, 1921",R,NT,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Baudo Guan,Penelope ortoni,"Salvin, 1874",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Andean Guan,Penelope montagnii,"(Bonaparte, 1856)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Marail Guan,Penelope marail,"(Müller, 1776)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Rusty-margined Guan,Penelope superciliaris,"Temminck, 1815",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Red-faced Guan,Penelope dabbenei,"Hellmayr & Conover, 1942",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Spix's Guan,Penelope jacquacu,"Spix, 1825",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Crested Guan,Penelope purpurascens,"Wagler, 1830",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cauca Guan,Penelope perspicax,"Bangs, 1911",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",White-winged Guan,Penelope albipennis,"Taczanowski, 1878",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Dusky-legged Guan,Penelope obscura,"Temminck, 1815",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",White-crested Guan,Penelope pileata,"Wagler, 1830",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Chestnut-bellied Guan,Penelope ochrogaster,"Pelzeln, 1870",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",White-browed Guan,Penelope jacucaca,"Spix, 1825",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Trinidad Piping-guan,Pipile pipile,"(Jacquin, 1784)",R,CR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Blue-throated Piping-guan,Pipile cumanensis,"(Jacquin, 1784)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",White-throated Piping-guan,Pipile grayi,"(Pelzeln, 1870)",R,NT,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Red-throated Piping-guan,Pipile cujubi,"(Pelzeln, 1858)",R,LC,Aburria cujubi
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Black-fronted Piping-guan,Pipile jacutinga,"(Spix, 1825)",R,EN,Penelope jacutinga
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",,Pipile cumanensis,"(Jacquin, 1784)",NR,NR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Wattled Guan,Aburria aburri,"(Lesson, 1828)",R,NT,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Horned Guan,Oreophasis derbianus,"Gray, 1844",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Plain Chachalaca,Ortalis vetula,"(Wagler, 1830)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Grey-headed Chachalaca,Ortalis cinereiceps,"Gray, 1867",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Chestnut-winged Chachalaca,Ortalis garrula,"(Humboldt, 1805)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Rufous-vented Chachalaca,Ortalis ruficauda,"Jardine, 1847",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Rufous-headed Chachalaca,Ortalis erythroptera,"Sclater & Salvin, 1870",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Rufous-bellied Chachalaca,Ortalis wagleri,"Gray, 1867",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",West Mexican Chachalaca,Ortalis poliocephala,"(Wagler, 1830)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Chaco Chachalaca,Ortalis canicollis,"(Wagler, 1830)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",White-bellied Chachalaca,Ortalis leucogastra,"(Gould, 1843)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Colombian Chachalaca,Ortalis columbiana,"Hellmayr, 1906",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Speckled Chachalaca,Ortalis guttata,"(Spix, 1825)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",East Brazilian Chachalaca,Ortalis araucuan,"(Spix, 1825)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Scaled Chachalaca,Ortalis squamata,"Lesson, 1829",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Little Chachalaca,Ortalis motmot,"(Linnaeus, 1766)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Buff-browed Chachalaca,Ortalis superciliaris,"Gray, 1867",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",,Ortalis guttata,"(Spix, 1825)",NR,NR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",,Ortalis guttata,"(Spix, 1825)",NR,NR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Nocturnal Curassow,Nothocrax urumutum,"(Spix, 1825)",R,LC,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Great Curassow,Crax rubra,"Linnaeus, 1758",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Blue-billed Curassow,Crax alberti,"Fraser, 1852",R,CR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Yellow-knobbed Curassow,Crax daubentoni,"Gray, 1867",R,NT,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Black Curassow,Crax alector,"Linnaeus, 1766",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Bare-faced Curassow,Crax fasciolata,"Spix, 1825",R,VU,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Belem Curassow,Crax pinima,"Pelzeln, 1870",R,CR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Wattled Curassow,Crax globulosa,"Spix, 1825",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Red-billed Curassow,Crax blumenbachii,"Spix, 1825",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",,Crax fasciolata,"Spix, 1825",NR,NR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Crestless Curassow,Mitu tomentosum,"(Spix, 1825)",R,NT,Mitu tomentosa
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Alagoas Curassow,Mitu mitu,"(Linnaeus, 1766)",R,EW,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Razor-billed Curassow,Mitu tuberosum,"(Spix, 1825)",R,LC,Mitu tuberosa
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Salvin's Curassow,Mitu salvini,"(Reinhardt, 1879)",R,LC,Crax salvini
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Horned Curassow,Pauxi unicornis,"Bond & Meyer de Schauensee, 1939",R,CR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Sira Curassow,Pauxi koepckeae,"Weske & Terborgh, 1971",R,CR,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Helmeted Curassow,Pauxi pauxi,"(Linnaeus, 1766)",R,EN,
GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",,Pauxi unicornis,"Bond & Meyer de Schauensee, 1939",NR,NR,
GALLIFORMES,Numididae,Guineafowl,Helmeted Guineafowl,Numida meleagris,"(Linnaeus, 1758)",R,LC,
GALLIFORMES,Numididae,Guineafowl,White-breasted Guineafowl,Agelastes meleagrides,"Bonaparte, 1850",R,VU,
GALLIFORMES,Numididae,Guineafowl,Black Guineafowl,Agelastes niger,"(Cassin, 1857)",R,LC,
GALLIFORMES,Numididae,Guineafowl,Vulturine Guineafowl,Acryllium vulturinum,"(Hardwicke, 1834)",R,LC,
GALLIFORMES,Numididae,Guineafowl,Plumed Guineafowl,Guttera plumifera,"(Cassin, 1857)",R,LC,
GALLIFORMES,Numididae,Guineafowl,Western Crested Guineafowl,Guttera verreauxi,"(Elliot, 1870)",R,LC,
GALLIFORMES,Numididae,Guineafowl,Eastern Crested Guineafowl,Guttera pucherani,"(Hartlaub, 1860)",R,LC,
GALLIFORMES,Numididae,Guineafowl,Southern Crested Guineafowl,Guttera edouardi,"(Hartlaub, 1867)",R,LC,
GALLIFORMES,Numididae,Guineafowl,,Guttera pucherani,"(Hartlaub, 1860)",NR,NR,
GALLIFORMES,Odontophoridae,New World quails,Stone Partridge,Ptilopachus petrosus,"(Gmelin, 1789)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Nahan's Partridge,Ptilopachus nahani,"(Dubois, 1905)",R,VU,Francolinus nahani
GALLIFORMES,Odontophoridae,New World quails,Banded Quail,Philortyx fasciatus,"(Gould, 1844)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Mountain Quail,Oreortyx pictus,"(Douglas, 1829)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Northern Bobwhite,Colinus virginianus,"(Linnaeus, 1758)",R,NT,
GALLIFORMES,Odontophoridae,New World quails,Black-throated Bobwhite,Colinus nigrogularis,"(Gould, 1843)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Spot-bellied Bobwhite,Colinus leucopogon,"(Lesson, 1842)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Crested Bobwhite,Colinus cristatus,"(Linnaeus, 1766)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,,Colinus ridgwayi,"Brewster, 1885",NR,NR,
GALLIFORMES,Odontophoridae,New World quails,,Colinus cristatus,"(Linnaeus, 1766)",NR,NR,
GALLIFORMES,Odontophoridae,New World quails,Scaled Quail,Callipepla squamata,"(Vigors, 1830)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Elegant Quail,Callipepla douglasii,"(Vigors, 1829)",R,LC,Lophortyx douglasii
GALLIFORMES,Odontophoridae,New World quails,Gambel's Quail,Callipepla gambelii,"Gambel, 1843",R,LC,Lophortyx gambelii
GALLIFORMES,Odontophoridae,New World quails,California Quail,Callipepla californica,"(Shaw, 1798)",R,LC,Lophortyx californica
GALLIFORMES,Odontophoridae,New World quails,Bearded Wood-partridge,Dendrortyx barbatus,"Gould, 1846",R,VU,
GALLIFORMES,Odontophoridae,New World quails,Long-tailed Wood-partridge,Dendrortyx macroura,"(Jardine & Selby, 1828)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,"(Gould, 1844)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Marbled Wood-quail,Odontophorus gujanensis,"(Gmelin, 1789)",R,NT,
GALLIFORMES,Odontophoridae,New World quails,Spot-winged Wood-quail,Odontophorus capueira,"(Spix, 1825)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Black-eared Wood-quail,Odontophorus melanotis,"Salvin, 1865",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Rufous-fronted Wood-quail,Odontophorus erythrops,"Gould, 1859",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Black-fronted Wood-quail,Odontophorus atrifrons,"Allen, 1900",R,VU,
GALLIFORMES,Odontophoridae,New World quails,Chestnut Wood-quail,Odontophorus hyperythrus,"Gould, 1858",R,NT,Odontophorus hyperthyrus
GALLIFORMES,Odontophoridae,New World quails,Dark-backed Wood-quail,Odontophorus melanonotus,"Gould, 1860",R,VU,
GALLIFORMES,Odontophoridae,New World quails,Rufous-breasted Wood-quail,Odontophorus speciosus,"Tschudi, 1843",R,NT,
GALLIFORMES,Odontophoridae,New World quails,Tacarcuna Wood-quail,Odontophorus dialeucos,"Wetmore, 1963",R,VU,
GALLIFORMES,Odontophoridae,New World quails,Gorgeted Wood-quail,Odontophorus strophium,"(Gould, 1844)",R,VU,
GALLIFORMES,Odontophoridae,New World quails,Venezuelan Wood-quail,Odontophorus columbianus,"(Gould, 1850)",R,NT,
GALLIFORMES,Odontophoridae,New World quails,Black-breasted Wood-quail,Odontophorus leucolaemus,"Salvin, 1867",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Stripe-faced Wood-quail,Odontophorus balliviani,"Gould, 1846",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Starred Wood-quail,Odontophorus stellatus,"(Gould, 1843)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Spotted Wood-quail,Odontophorus guttatus,"(Gould, 1838)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Tawny-faced Quail,Rhynchortyx cinctus,"(Salvin, 1876)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Singing Quail,Dactylortyx thoracicus,"(Gambel, 1848)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Montezuma Quail,Cyrtonyx montezumae,"(Vigors, 1830)",R,LC,
GALLIFORMES,Odontophoridae,New World quails,Spot-breasted Quail,Cyrtonyx sallei,"J. Verreaux, 1859",R,NT,
GALLIFORMES,Odontophoridae,New World quails,Ocellated Quail,Cyrtonyx ocellatus,"(Gould, 1837)",R,VU,
GALLIFORMES,Odontophoridae,New World quails,,Cyrtonyx montezumae,"(Vigors, 1830)",NR,NR,
GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Udzungwa Forest-partridge,Xenoperdix udzungwensis,"Dinesen, Lehmberg, Svendsen & Fjeldså, 1994",R,EN,
GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",,Xenoperdix obscurata,"Dinesen et al., 1994",NR,NR,
GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Crested Partridge,Rollulus rouloul,"(Scopoli, 1786)",R,NT,
GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Hill Partridge,Arborophila torqueola,"(Valenciennes, 1826)",R,LC,
